player,name_key,team,pos,age,gp,gs,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,PER,ts_pct,usg_pct,OWS,DWS,WS,ws_per_48,OBPM,DBPM,BPM,VORP,salary_2025_26,salary_2026_27,contract_years_remaining,total_remaining_value,guaranteed_total,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,cap_pct,per36_pts,per36_reb,per36_ast,likely_rookie_scale,predicted_cap_pct,predicted_aav,surplus_value,contract_type,contract_grade,small_sample_caveat
Austin Reaves,austin reaves,LAL,SG,27,51,45,34.5,23.3,4.7,5.5,1.1,0.4,3.0,0.49,0.36,0.871,0.567,,,,,,,,,,,,13937574.0,14898786.0,2.0,28836360.0,13937574.0,13937574.0,14898786.0,,,,,0.09012508487070554,24.31304347826087,4.904347826086957,5.739130434782608,False,0.22271999883288732,34442979.659509525,20505405.659509525,Mid-level range,Significant bargain,False
Jalen Johnson,jalen johnson,ATL,SF,24,72,72,35.2,22.5,10.3,7.9,1.2,0.4,3.4,0.489,0.352,0.788,0.537,20.4,0.581,27.0,3.6,3.9,7.5,0.141,2.8,1.4,4.2,4.0,30000000.0,30000000.0,5.0,150000000.0,150000000.0,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,,0.1939901840966847,23.011363636363633,10.534090909090908,8.079545454545455,False,0.2320162069835195,35880610.36138034,5880610.361380339,Veteran (above-MLE),Good value,False
Paolo Banchero,paolo banchero,ORL,PF,23,72,72,34.8,22.2,8.4,5.2,0.7,0.6,3.1,0.459,0.305,0.775,0.496,17.6,0.566,27.6,2.0,3.0,5.0,0.095,1.4,0.0,1.4,2.1,15334769.0,41500000.0,6.0,256034769.0,201254769.0,15334769.0,41500000.0,44820000.0,48140000.0,51460000.0,54780000.0,0.09915982204633779,22.965517241379313,8.689655172413794,5.379310344827586,False,0.2000226705076863,30932905.926002163,15598136.926002163,Mid-level range,Significant bargain,False
Jayson Tatum,jayson tatum,BOS,PF,27,16,16,32.6,21.8,10.0,5.3,1.4,0.2,2.4,0.411,0.329,0.823,0.493,,,,,,,,,,,,54126450.0,58456566.0,5.0,313933410.0,242486496.0,54126450.0,58456566.0,62786682.0,67116798.0,71446914.0,,0.35,24.073619631901842,11.042944785276074,5.852760736196318,False,0.23342312481511257,36098185.983282715,-18028264.016717285,Max / Supermax,Significant overpay,True
Norman Powell,norman powell,MIA,SG,32,58,52,29.6,21.7,3.5,2.5,1.1,0.2,1.9,0.47,0.38,0.827,0.558,,,,,,,,,,,,20482758.0,,1.0,20482758.0,20482758.0,20482758.0,,,,,,0.1324484665075947,26.391891891891888,4.256756756756757,3.0405405405405403,False,0.23338953280007396,36092991.07893304,15610233.078933038,Mid-level range,Significant bargain,False
Trey Murphy III,trey murphy iii,NOP,SF,25,66,66,35.5,21.5,5.7,3.8,1.5,0.4,1.8,0.47,0.379,0.886,0.572,18.3,0.613,22.7,4.5,1.6,6.0,0.123,3.0,-0.6,2.4,2.6,25000000.0,27000000.0,4.0,112000000.0,112000000.0,25000000.0,27000000.0,29000000.0,31000000.0,,,0.16165848674723726,21.80281690140845,5.780281690140845,3.853521126760563,False,0.19614727651806094,30333587.87168857,5333587.871688571,Mid-level range,Good value,False
Brandon Ingram,brandon ingram,TOR,SF,28,77,77,33.8,21.5,5.6,3.7,0.8,0.7,2.4,0.477,0.382,0.82,0.529,16.3,0.573,26.9,1.5,3.1,4.6,0.084,1.0,-0.5,0.5,1.7,38095238.0,40000000.0,3.0,120000000.0,78095238.0,38095238.0,40000000.0,41904762.0,,,,0.24633674109423395,22.89940828402367,5.964497041420119,3.9408284023668645,False,0.21745178865958642,33628266.76083906,-4466971.23916094,Veteran (above-MLE),Slight overpay,False
Julius Randle,julius randle,MIN,PF,31,79,79,33.0,21.1,6.7,5.0,1.1,0.2,2.7,0.481,0.315,0.802,0.526,18.4,0.585,26.5,4.3,3.1,7.4,0.135,1.5,0.0,1.5,2.3,30864198.0,33333334.0,3.0,100000000.0,64197532.0,30864198.0,33333334.0,35802468.0,,,,0.19957838173388426,23.01818181818182,7.3090909090909095,5.454545454545455,False,0.24504749424912736,37895859.8431448,7031661.843144797,Veteran (above-MLE),Good value,False
Cooper Flagg,cooper flagg,DAL,SF,19,70,70,33.5,21.0,6.7,4.5,1.2,0.9,2.3,0.468,0.295,0.827,0.498,17.9,0.548,26.9,1.3,2.5,3.8,0.078,1.0,0.4,1.4,2.0,13825920.0,14517480.0,4.0,62730226.0,28343400.0,13825920.0,14517480.0,15208680.0,19178146.0,,,0.0894030922035345,22.56716417910448,7.2,4.835820895522388,True,0.16893241728730354,26124891.536229633,12298971.536229633,Mid-level range,Rookie scale (locked-in value),False
Zion Williamson,zion williamson,NOP,PF,25,62,55,29.7,21.0,5.7,3.2,1.0,0.5,2.0,0.6,0.25,0.716,0.6,22.6,0.644,25.7,5.0,1.0,6.1,0.159,3.5,-0.6,2.9,2.3,39446090.0,42166510.0,3.0,126499530.0,126499530.0,39446090.0,42166510.0,44886930.0,,,,0.2550718086998131,25.454545454545453,6.90909090909091,3.878787878787879,False,0.19673001759191538,30423707.03053694,-9022382.969463062,Veteran (above-MLE),Slight overpay,False
